12
basin_cfs 1
basin_gwflow_cfs 1
basin_sroff_cfs 1
basin_dunnian 1
basin_ssflow_cfs 1
basin_ppt 1
basin_snow 1
basin_pweqv 1
basin_snowcov 1
basin_actet 1
basin_potsw 1
basin_recharge 1
1 1982 8 1 0 0 0 1.627753 1.627753 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.014293 680.392451 0.000000 
2 1982 8 2 0 0 0 1.615086 1.615086 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.008746 649.361386 0.000000 
3 1982 8 3 0 0 0 1.602579 1.602579 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.009314 610.873522 0.000000 
4 1982 8 4 0 0 0 1.590228 1.590228 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.009326 629.097832 0.000000 
5 1982 8 5 0 0 0 1.578034 1.578034 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.009658 671.040720 0.000000 
6 1982 8 6 0 0 0 1.565992 1.565992 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.011136 681.750742 0.000000 
7 1982 8 7 0 0 0 1.554102 1.554102 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.011000 656.504336 0.000000 
8 1982 8 8 0 0 0 13.117110 1.542394 4.525288 0.015338 7.049429 1.364573 0.000025 0.000000 0.000000 0.107981 490.184275 0.000008 
9 1982 8 9 0 0 0 2.912677 1.530830 0.025650 0.000089 1.356196 0.000000 0.000000 0.000000 0.000000 0.119124 645.749487 0.000008 
10 1982 8 10 0 0 0 2.562892 1.519409 0.019425 0.000067 1.024058 0.000000 0.000000 0.000000 0.000000 0.087510 630.390014 0.000007 
11 1982 8 11 0 0 0 2.320365 1.508130 0.015153 0.000053 0.797082 0.000000 0.000000 0.000000 0.000000 0.091978 612.460419 0.000007 
12 1982 8 12 0 0 0 2.144270 1.496989 0.012097 0.000042 0.635184 0.000000 0.000000 0.000000 0.000000 0.091421 656.512567 0.000006 
13 1982 8 13 0 0 0 2.011547 1.485986 0.009835 0.000034 0.515725 0.000000 0.000000 0.000000 0.000000 0.087676 645.766537 0.000006 
14 1982 8 14 0 0 0 1.908362 1.475119 0.008117 0.000028 0.425127 0.000000 0.000000 0.000000 0.000000 0.066426 612.721648 0.000006 
15 1982 8 15 0 0 0 1.826010 1.464386 0.006781 0.000024 0.354843 0.000000 0.000000 0.000000 0.000000 0.062247 623.614317 0.000005 
16 1982 8 16 0 0 0 1.758784 1.453784 0.005724 0.000020 0.299275 0.000000 0.000000 0.000000 0.000000 0.053266 637.235379 0.000005 
17 1982 8 17 0 0 0 1.702818 1.443314 0.004873 0.000017 0.254631 0.000000 0.000000 0.000000 0.000000 0.047414 642.112388 0.000005 
18 1982 8 18 0 0 0 1.655419 1.432972 0.004180 0.000015 0.218267 0.000000 0.000000 0.000000 0.000000 0.045239 639.103465 0.000005 
19 1982 8 19 0 0 0 9.433795 1.422757 3.199815 0.010849 4.811223 0.974695 0.001624 0.000000 0.000000 0.120753 527.329365 0.000004 
20 1982 8 20 0 0 0 7.923196 1.412740 1.992531 0.006764 4.517925 0.584817 0.000000 0.000000 0.000000 0.151495 612.027951 0.000049 
21 1982 8 21 0 0 0 3.193256 1.402842 0.033202 0.000115 1.757212 0.000000 0.000000 0.000000 0.000000 0.164498 641.374251 0.000046 
22 1982 8 22 0 0 0 4.084883 1.393060 0.610057 0.002082 2.081766 0.194939 0.000000 0.000000 0.000000 0.172598 639.452859 0.000046 
23 1982 8 23 0 0 0 2.640852 1.383394 0.023352 0.000081 1.234106 0.000000 0.000000 0.000000 0.000000 0.161843 632.155387 0.000043 
24 1982 8 24 0 0 0 2.333604 1.373842 0.017873 0.000062 0.941889 0.000000 0.000000 0.000000 0.000000 0.147472 628.855290 0.000041 
25 1982 8 25 0 0 0 23.408712 1.365140 6.898680 0.023410 15.144891 1.949390 0.000000 0.000000 0.000000 0.131570 577.539875 0.003104 
26 1982 8 26 0 0 0 3.608989 1.356509 0.041956 0.000146 2.210524 0.000000 0.000000 0.000000 0.000000 0.144119 601.434323 0.002937 
27 1982 8 27 0 0 0 2.944031 1.347948 0.029863 0.000104 1.566220 0.000000 0.000000 0.000000 0.000000 0.115243 581.164122 0.002768 
28 1982 8 28 0 0 0 2.524539 1.339461 0.022254 0.000077 1.162824 0.000000 0.000000 0.000000 0.000000 0.108071 534.444928 0.002612 
29 1982 8 29 0 0 0 2.241816 1.331047 0.017156 0.000060 0.893613 0.000000 0.000000 0.000000 0.000000 0.090743 461.260461 0.002468 
30 1982 8 30 0 0 0 2.041365 1.322709 0.013574 0.000047 0.705082 0.000000 0.000000 0.000000 0.000000 0.099584 571.349044 0.002333 
31 1982 8 31 0 0 0 1.893398 1.314447 0.010962 0.000038 0.567989 0.000000 0.000000 0.000000 0.000000 0.106581 589.145572 0.002208 
32 1982 9 1 0 0 0 1.780505 1.306262 0.008999 0.000031 0.465243 0.000000 0.000000 0.000000 0.000000 0.108323 599.987301 0.002092 
33 1982 9 2 0 0 0 1.691957 1.298156 0.007488 0.000026 0.386314 0.000000 0.000000 0.000000 0.000000 0.116757 598.066386 0.001983 
34 1982 9 3 0 0 0 1.620848 1.290127 0.006300 0.000022 0.324420 0.000000 0.000000 0.000000 0.000000 0.106901 579.768288 0.001882 
35 1982 9 4 0 0 0 1.562567 1.282177 0.005351 0.000019 0.275039 0.000000 0.000000 0.000000 0.000000 0.095315 585.670149 0.001787 
